,data_stock,price_stock,volume_stock
0,2022-03-01 11:25,78.76,119.0
1,2022-03-01 13:50,78.3,198.0
2,2022-03-01 15:25,78.45,2474.0
3,2022-03-01 15:30,78.63,99647.0
4,2022-03-01 15:35,78.86,39420.0
5,2022-03-01 15:40,78.75,42456.0
6,2022-03-01 15:45,79.2,24088.0
7,2022-03-01 15:50,78.99,48639.0
8,2022-03-01 15:55,78.68,31126.0
9,2022-03-01 16:00,78.57,26113.0
10,2022-03-01 16:05,78.65,41194.0
11,2022-03-01 16:10,78.32,24124.0
12,2022-03-01 16:15,78.27,31769.0
13,2022-03-01 16:20,78.34,36735.0
14,2022-03-01 16:25,78.225,19590.0
15,2022-03-01 16:30,78.28,27844.0
16,2022-03-01 16:35,78.08,20825.0
17,2022-03-01 16:40,77.94,50879.0
18,2022-03-01 16:45,77.9221,14487.0
19,2022-03-01 16:50,78.03,12063.0
20,2022-03-01 16:55,78.17,24801.0
21,2022-03-01 17:00,78.16,26859.0
22,2022-03-01 17:05,78.455,34658.0
23,2022-03-01 17:10,78.11,18066.0
24,2022-03-01 17:15,78.22,14274.0
25,2022-03-01 17:20,78.08,11578.0
26,2022-03-01 17:25,78.29,20215.0
27,2022-03-01 17:30,78.36,18305.0
28,2022-03-01 17:35,78.09,12628.0
29,2022-03-01 17:40,78.06,17275.0
30,2022-03-01 17:45,77.96,24994.0
31,2022-03-01 17:50,77.785,29093.0
32,2022-03-01 17:55,77.635,23111.0
33,2022-03-01 18:00,77.68,30206.0
34,2022-03-01 18:05,77.68,26352.0
35,2022-03-01 18:10,77.6758,18857.0
36,2022-03-01 18:15,77.62,29347.0
37,2022-03-01 18:20,77.71,25769.0
38,2022-03-01 18:25,77.78,13501.0
39,2022-03-01 18:30,77.88,20929.0
40,2022-03-01 18:35,77.97,16478.0
41,2022-03-01 18:40,77.75,13610.0
42,2022-03-01 18:45,77.78,12253.0
43,2022-03-01 18:50,77.826,12343.0
44,2022-03-01 18:55,77.87,19932.0
45,2022-03-01 19:00,77.99,30196.0
46,2022-03-01 19:05,77.9621,17864.0
47,2022-03-01 19:10,77.985,23425.0
48,2022-03-01 19:15,77.88,13076.0
49,2022-03-01 19:20,77.86,15564.0
50,2022-03-01 19:25,77.775,14361.0
51,2022-03-01 19:30,77.65,19303.0
52,2022-03-01 19:35,77.68,13906.0
53,2022-03-01 19:40,77.78,13181.0
54,2022-03-01 19:45,77.77,20144.0
55,2022-03-01 19:50,77.79,10314.0
56,2022-03-01 19:55,77.76,9560.0
57,2022-03-01 20:00,77.81,20850.0
58,2022-03-01 20:05,77.78,13063.0
59,2022-03-01 20:10,77.82,12036.0
60,2022-03-01 20:15,77.81,65747.0
61,2022-03-01 20:20,77.73,40008.0
62,2022-03-01 20:25,77.93,37517.0
63,2022-03-01 20:30,78.08,52792.0
64,2022-03-01 20:35,78.15,24179.0
65,2022-03-01 20:40,78.43,22445.0
66,2022-03-01 20:45,78.43,43910.0
67,2022-03-01 20:50,78.45,65769.0
68,2022-03-01 20:55,78.48,80070.0
69,2022-03-01 21:00,78.35,48652.0
70,2022-03-01 21:05,78.51,48885.0
71,2022-03-01 21:10,78.37,22522.0
72,2022-03-01 21:15,78.37,28836.0
73,2022-03-01 21:20,78.239,30571.0
74,2022-03-01 21:25,78.32,47050.0
75,2022-03-01 21:30,78.23,43053.0
76,2022-03-01 21:35,78.3,40625.0
77,2022-03-01 21:40,78.19,44059.0
78,2022-03-01 21:45,78.065,62596.0
79,2022-03-01 21:50,77.81,89406.0
80,2022-03-01 21:55,77.99,214047.0
81,2022-03-01 22:00,77.99,186490.0
82,2022-03-02 01:50,77.99,117.0
83,2022-03-02 13:00,78.05,738.0
84,2022-03-02 13:20,78.5,479.0
85,2022-03-02 14:00,78.7835,110.0
86,2022-03-02 14:10,78.2501,202.0
87,2022-03-02 14:40,78.35,267.0
88,2022-03-02 15:00,78.47,442.0
89,2022-03-02 15:20,78.7954,100.0
90,2022-03-02 15:25,78.67,5325.0
91,2022-03-02 15:30,78.67,106163.0
92,2022-03-02 15:35,78.66,32989.0
93,2022-03-02 15:40,78.89,23493.0
94,2022-03-02 15:45,78.97,17264.0
95,2022-03-02 15:50,78.99,21941.0
96,2022-03-02 15:55,79.19,37966.0
97,2022-03-02 16:00,79.44,33478.0
98,2022-03-02 16:05,79.5226,37400.0
99,2022-03-02 16:10,79.19,19450.0
100,2022-03-02 16:15,79.295,21157.0
101,2022-03-02 16:20,79.36,29995.0
102,2022-03-02 16:25,79.63,75499.0
103,2022-03-02 16:30,79.79,25305.0
104,2022-03-02 16:35,79.94,117027.0
105,2022-03-02 16:40,80.0387,24474.0
106,2022-03-02 16:45,80.14,29952.0
107,2022-03-02 16:50,80.24,27719.0
108,2022-03-02 16:55,79.9943,39826.0
109,2022-03-02 17:00,80.08,29875.0
110,2022-03-02 17:05,80.21,25061.0
111,2022-03-02 17:10,80.17,30028.0
112,2022-03-02 17:15,80.17,34470.0
113,2022-03-02 17:20,79.989,17631.0
114,2022-03-02 17:25,79.92,27876.0
115,2022-03-02 17:30,80.068,30043.0
116,2022-03-02 17:35,80.32,27397.0
117,2022-03-02 17:40,80.32,19073.0
118,2022-03-02 17:45,80.16,15013.0
119,2022-03-02 17:50,80.14,12133.0
120,2022-03-02 17:55,80.11,19141.0
121,2022-03-02 18:00,80.21,10968.0
122,2022-03-02 18:05,80.19,17894.0
123,2022-03-02 18:10,80.18,26570.0
124,2022-03-02 18:15,80.06,12012.0
125,2022-03-02 18:20,80.07,12006.0
126,2022-03-02 18:25,80.0343,15600.0
127,2022-03-02 18:30,80.19,19466.0
128,2022-03-02 18:35,80.2,18151.0
129,2022-03-02 18:40,80.21,11407.0
130,2022-03-02 18:45,80.15,11887.0
131,2022-03-02 18:50,80.15,17107.0
132,2022-03-02 18:55,80.15,32391.0
133,2022-03-02 19:00,80.25,12652.0
134,2022-03-02 19:05,80.18,34416.0
135,2022-03-02 19:10,80.25,38722.0
136,2022-03-02 19:15,80.14,24107.0
137,2022-03-02 19:20,80.14,69798.0
138,2022-03-02 19:25,80.18,28809.0
139,2022-03-02 19:30,80.33,31873.0
140,2022-03-02 19:35,80.33,18816.0
141,2022-03-02 19:40,80.28,15066.0
142,2022-03-02 19:45,80.04,20138.0
143,2022-03-02 19:50,80.13,13816.0
144,2022-03-02 19:55,80.1,13907.0
145,2022-03-02 20:00,80.265,10974.0
146,2022-03-02 20:05,80.3,23485.0
147,2022-03-02 20:10,80.35,18848.0
148,2022-03-02 20:15,80.32,16699.0
149,2022-03-02 20:20,80.21,19925.0
150,2022-03-02 20:25,80.2,13585.0
151,2022-03-02 20:30,80.2,17037.0
152,2022-03-02 20:35,80.18,13789.0
153,2022-03-02 20:40,80.27,13095.0
154,2022-03-02 20:45,80.28,17182.0
155,2022-03-02 20:50,80.23,18433.0
156,2022-03-02 20:55,80.08,32336.0
157,2022-03-02 21:00,80.12,27599.0
158,2022-03-02 21:05,80.235,36478.0
159,2022-03-02 21:10,80.23,26160.0
160,2022-03-02 21:15,80.23,31129.0
161,2022-03-02 21:20,80.21,71445.0
162,2022-03-02 21:25,80.28,72493.0
163,2022-03-02 21:30,80.43,40119.0
164,2022-03-02 21:35,80.31,47360.0
165,2022-03-02 21:40,80.24,37148.0
166,2022-03-02 21:45,80.305,58304.0
167,2022-03-02 21:50,80.46,83484.0
168,2022-03-02 21:55,80.41,166746.0
169,2022-03-02 22:00,80.28,19105.0
170,2022-03-02 22:40,80.19,100.0
171,2022-03-02 23:45,80.21,100.0
172,2022-03-03 01:50,80.59,1000.0
173,2022-03-03 11:20,80.89,2000.0
174,2022-03-03 13:25,80.88,217.0
175,2022-03-03 14:00,80.9,275.0
176,2022-03-03 14:20,81.0,308.0
177,2022-03-03 14:25,81.0,364.0
178,2022-03-03 14:45,81.0,153.0
179,2022-03-03 14:50,80.85,510.0
180,2022-03-03 15:00,81.0,408.0
181,2022-03-03 15:05,81.0,759.0
182,2022-03-03 15:15,81.08,203.0
183,2022-03-03 15:20,81.0392,104.0
184,2022-03-03 15:25,81.13,1600.0
185,2022-03-03 15:30,81.63,157306.0
186,2022-03-03 15:35,80.78,37929.0
187,2022-03-03 15:40,80.68,33029.0
188,2022-03-03 15:45,81.04,54666.0
189,2022-03-03 15:50,81.07,23630.0
190,2022-03-03 15:55,80.81,29744.0
191,2022-03-03 16:00,80.92,66500.0
192,2022-03-03 16:05,81.05,57317.0
193,2022-03-03 16:10,81.38,36497.0
194,2022-03-03 16:15,81.4181,37695.0
195,2022-03-03 16:20,81.53,25401.0
196,2022-03-03 16:25,81.505,26923.0
197,2022-03-03 16:30,81.63,59946.0
198,2022-03-03 16:35,81.54,33708.0
199,2022-03-03 16:40,81.37,32795.0
200,2022-03-03 16:45,81.26,22837.0
201,2022-03-03 16:50,81.38,60362.0
202,2022-03-03 16:55,81.58,75089.0
203,2022-03-03 17:00,81.6,63097.0
204,2022-03-03 17:05,81.52,43605.0
205,2022-03-03 17:10,81.555,20766.0
206,2022-03-03 17:15,81.43,116078.0
207,2022-03-03 17:20,81.33,53130.0
208,2022-03-03 17:25,81.22,30593.0
209,2022-03-03 17:30,81.21,35907.0
210,2022-03-03 17:35,81.28,28536.0
211,2022-03-03 17:40,81.2,17801.0
212,2022-03-03 17:45,81.38,42793.0
213,2022-03-03 17:50,81.25,33083.0
214,2022-03-03 17:55,81.09,34488.0
215,2022-03-03 18:00,80.98,30306.0
216,2022-03-03 18:05,81.06,20234.0
217,2022-03-03 18:10,81.12,18058.0
218,2022-03-03 18:15,81.2,292359.0
219,2022-03-03 18:20,81.16,18376.0
220,2022-03-03 18:25,81.05,15132.0
221,2022-03-03 18:30,81.06,52270.0
222,2022-03-03 18:35,81.37,27993.0
223,2022-03-03 18:40,81.29,15872.0
224,2022-03-03 18:45,81.285,24180.0
225,2022-03-03 18:50,81.28,27675.0
226,2022-03-03 18:55,81.22,42080.0
227,2022-03-03 19:00,81.37,38537.0
228,2022-03-03 19:05,81.35,32054.0
229,2022-03-03 19:10,81.23,80010.0
230,2022-03-03 19:15,81.3,298940.0
231,2022-03-03 19:20,81.36,44253.0
232,2022-03-03 19:25,81.47,75278.0
233,2022-03-03 19:30,81.54,56413.0
234,2022-03-03 19:35,81.45,21123.0
235,2022-03-03 19:40,81.46,24442.0
236,2022-03-03 19:45,81.47,33601.0
237,2022-03-03 19:50,81.75,27365.0
238,2022-03-03 19:55,81.87,50320.0
239,2022-03-03 20:00,81.915,58467.0
240,2022-03-03 20:05,82.1,78588.0
241,2022-03-03 20:10,82.07,219641.0
242,2022-03-03 20:15,82.15,77308.0
243,2022-03-03 20:20,82.15,131996.0
244,2022-03-03 20:25,82.33,79148.0
245,2022-03-03 20:30,82.38,58667.0
246,2022-03-03 20:35,82.29,55021.0
247,2022-03-03 20:40,82.22,33340.0
248,2022-03-03 20:45,82.09,33557.0
249,2022-03-03 20:50,81.955,53671.0
250,2022-03-03 20:55,81.82,39902.0
251,2022-03-03 21:00,81.83,33701.0
252,2022-03-03 21:05,81.57,37035.0
253,2022-03-03 21:10,81.62,33072.0
254,2022-03-03 21:15,81.75,62009.0
255,2022-03-03 21:20,82.01,51847.0
256,2022-03-03 21:25,81.93,48747.0
257,2022-03-03 21:30,82.02,64960.0
258,2022-03-03 21:35,81.7,56442.0
259,2022-03-03 21:40,81.82,81542.0
260,2022-03-03 21:45,81.71,107114.0
261,2022-03-03 21:50,81.88,130939.0
262,2022-03-03 21:55,81.94,353825.0
263,2022-03-03 22:00,81.93,74713.0
264,2022-03-03 22:10,81.93,1644.0
265,2022-03-03 22:35,82.0,16749.0
266,2022-03-03 22:45,81.93,901.0
267,2022-03-03 23:25,82.25,121.0
268,2022-03-03 23:45,82.48,600.0
269,2022-03-04 01:15,82.0,171.0
270,2022-03-04 10:40,81.9,101.0
271,2022-03-04 12:10,81.9,500.0
272,2022-03-04 12:15,81.9,300.0
273,2022-03-04 13:30,82.7,182.0
274,2022-03-04 13:35,82.7,330.0
275,2022-03-04 13:40,82.7,662.0
276,2022-03-04 13:55,82.5,1201.0
277,2022-03-04 14:00,82.51,417.0
278,2022-03-04 14:20,82.5,120.0
279,2022-03-04 14:45,82.3,393.0
280,2022-03-04 14:55,82.5,618.0
281,2022-03-04 15:05,82.57,300.0
282,2022-03-04 15:10,82.655,879.0
283,2022-03-04 15:20,82.5,203.0
284,2022-03-04 15:25,82.35,771.0
285,2022-03-04 15:30,81.52,266674.0
286,2022-03-04 15:35,81.38,69766.0
287,2022-03-04 15:40,81.32,45576.0
288,2022-03-04 15:45,81.865,34116.0
289,2022-03-04 15:50,81.49,54279.0
290,2022-03-04 15:55,81.59,33804.0
291,2022-03-04 16:00,81.78,32010.0
292,2022-03-04 16:05,81.74,49881.0
293,2022-03-04 16:10,81.8362,29735.0
294,2022-03-04 16:15,81.56,49301.0
295,2022-03-04 16:20,81.55,45524.0
296,2022-03-04 16:25,81.54,30894.0
297,2022-03-04 16:30,81.905,38140.0
298,2022-03-04 16:35,81.83,34612.0
299,2022-03-04 16:40,81.96,44536.0
300,2022-03-04 16:45,81.89,41297.0
301,2022-03-04 16:50,81.6,34996.0
302,2022-03-04 16:55,81.511,25447.0
303,2022-03-04 17:00,81.635,32903.0
304,2022-03-04 17:05,81.66,27158.0
305,2022-03-04 17:10,81.65,25338.0
306,2022-03-04 17:15,81.7,49711.0
307,2022-03-04 17:20,81.75,39357.0
308,2022-03-04 17:25,81.67,51151.0
309,2022-03-04 17:30,81.55,26431.0
310,2022-03-04 17:35,81.52,35969.0
311,2022-03-04 17:40,81.79,66869.0
312,2022-03-04 17:45,81.84,30548.0
313,2022-03-04 17:50,81.9,23110.0
314,2022-03-04 17:55,81.95,36210.0
315,2022-03-04 18:00,82.05,198872.0
316,2022-03-04 18:05,82.02,52022.0
317,2022-03-04 18:10,82.15,63066.0
318,2022-03-04 18:15,82.21,53834.0
319,2022-03-04 18:20,82.34,48506.0
320,2022-03-04 18:25,82.22,21025.0
321,2022-03-04 18:30,82.34,78346.0
322,2022-03-04 18:35,82.35,30653.0
323,2022-03-04 18:40,82.41,23822.0
324,2022-03-04 18:45,82.36,26658.0
325,2022-03-04 18:50,82.47,64573.0
326,2022-03-04 18:55,82.6,64817.0
327,2022-03-04 19:00,82.685,38142.0
328,2022-03-04 19:05,82.8,40663.0
329,2022-03-04 19:10,82.94,36328.0
330,2022-03-04 19:15,82.87,87778.0
331,2022-03-04 19:20,82.76,40196.0
332,2022-03-04 19:25,82.79,43301.0
333,2022-03-04 19:30,82.82,26102.0
334,2022-03-04 19:35,82.86,138636.0
335,2022-03-04 19:40,82.85,91288.0
336,2022-03-04 19:45,82.5807,30462.0
337,2022-03-04 19:50,82.41,34090.0
338,2022-03-04 19:55,82.26,50010.0
339,2022-03-04 20:00,82.09,45926.0
340,2022-03-04 20:05,82.2,31583.0
341,2022-03-04 20:10,82.27,37225.0
342,2022-03-04 20:15,82.48,35803.0
343,2022-03-04 20:20,82.745,49171.0
344,2022-03-04 20:25,82.92,47031.0
345,2022-03-04 20:30,83.01,55015.0
346,2022-03-04 20:35,82.9317,56971.0
347,2022-03-04 20:40,82.73,44314.0
348,2022-03-04 20:45,82.69,45847.0
349,2022-03-04 20:50,82.5791,47918.0
350,2022-03-04 20:55,82.74,71625.0
351,2022-03-04 21:00,82.6,25642.0
352,2022-03-04 21:05,82.71,30591.0
353,2022-03-04 21:10,82.62,38901.0
354,2022-03-04 21:15,82.53,45855.0
355,2022-03-04 21:20,82.6,49551.0
356,2022-03-04 21:25,82.59,63084.0
357,2022-03-04 21:30,82.72,49795.0
358,2022-03-04 21:35,82.615,49774.0
359,2022-03-04 21:40,82.52,59658.0
360,2022-03-04 21:45,82.58,76356.0
361,2022-03-04 21:50,82.63,104526.0
362,2022-03-04 21:55,82.86,493126.0
363,2022-03-04 22:00,82.8,191315.0
364,2022-03-04 22:55,84.0,200.0
365,2022-03-04 23:20,83.1304,100.0
366,2022-03-04 23:45,82.39,350.0
367,2022-03-05 01:20,83.0,264.0
368,2022-03-05 01:25,83.0,150.0
369,2022-03-07 10:00,82.8,417.0
370,2022-03-07 10:05,82.8,361.0
371,2022-03-07 10:10,82.99,100.0
372,2022-03-07 10:15,83.0,595.0
373,2022-03-07 10:20,83.0,595.0
374,2022-03-07 10:50,82.66,310.0
375,2022-03-07 11:05,82.51,469.0
376,2022-03-07 11:10,82.27,883.0
377,2022-03-07 12:20,83.34,500.0
378,2022-03-07 13:00,84.0,1355.0
379,2022-03-07 13:15,85.81,1571.0
380,2022-03-07 13:20,85.98,1003.0
381,2022-03-07 13:25,85.87,440.0
382,2022-03-07 13:30,86.0,205.0
383,2022-03-07 13:50,85.68,2003.0
384,2022-03-07 13:55,85.5,504.0
385,2022-03-07 14:00,86.0,5000.0
386,2022-03-07 14:05,84.75,550.0
387,2022-03-07 14:20,85.0,202.0
388,2022-03-07 14:35,84.65,100.0
389,2022-03-07 14:40,84.75,1732.0
390,2022-03-07 14:45,84.55,885.0
391,2022-03-07 14:50,84.4999,13060.0
392,2022-03-07 14:55,84.69,6948.0
393,2022-03-07 15:00,84.72,3337.0
394,2022-03-07 15:05,84.6,2013.0
395,2022-03-07 15:10,84.6,396.0
396,2022-03-07 15:15,84.73,565.0
397,2022-03-07 15:20,84.55,2915.0
398,2022-03-07 15:25,84.59,14288.0
399,2022-03-07 15:30,84.9,528766.0
400,2022-03-07 15:35,85.04,203626.0
401,2022-03-07 15:40,85.8126,152665.0
402,2022-03-07 15:45,85.9597,214084.0
403,2022-03-07 15:50,86.15,305622.0
404,2022-03-07 15:55,86.84,203276.0
405,2022-03-07 16:00,86.33,190119.0
406,2022-03-07 16:05,86.59,176841.0
407,2022-03-07 16:10,87.28,212695.0
408,2022-03-07 16:15,87.6376,123655.0
409,2022-03-07 16:20,87.1,87579.0
410,2022-03-07 16:25,87.0,85017.0
411,2022-03-07 16:30,87.18,99351.0
412,2022-03-07 16:35,87.68,104061.0
413,2022-03-07 16:40,87.85,122003.0
414,2022-03-07 16:45,87.79,77025.0
415,2022-03-07 16:50,87.77,89057.0
416,2022-03-07 16:55,87.39,82622.0
417,2022-03-07 17:00,87.27,74596.0
418,2022-03-07 17:05,87.35,101463.0
419,2022-03-07 17:10,87.4,79058.0
420,2022-03-07 17:15,87.9,79634.0
421,2022-03-07 17:20,87.83,39356.0
422,2022-03-07 17:25,87.79,62163.0
423,2022-03-07 17:30,87.55,165033.0
424,2022-03-07 17:35,87.17,71951.0
425,2022-03-07 17:40,86.92,50021.0
426,2022-03-07 17:45,86.56,53775.0
427,2022-03-07 17:50,86.36,82108.0
428,2022-03-07 17:55,86.15,42422.0
429,2022-03-07 18:00,86.08,58151.0
430,2022-03-07 18:05,85.876,43605.0
431,2022-03-07 18:10,85.86,61926.0
432,2022-03-07 18:15,85.81,55243.0
433,2022-03-07 18:20,85.56,77996.0
434,2022-03-07 18:25,85.23,53894.0
435,2022-03-07 18:30,85.18,80613.0
436,2022-03-07 18:35,84.955,52001.0
437,2022-03-07 18:40,84.77,36036.0
438,2022-03-07 18:45,84.64,84930.0
439,2022-03-07 18:50,84.61,69013.0
440,2022-03-07 18:55,84.415,58790.0
441,2022-03-07 19:00,84.42,52683.0
442,2022-03-07 19:05,84.83,38045.0
443,2022-03-07 19:10,84.65,26593.0
444,2022-03-07 19:15,84.48,31858.0
445,2022-03-07 19:20,84.23,56928.0
446,2022-03-07 19:25,84.395,67940.0
447,2022-03-07 19:30,84.32,46662.0
448,2022-03-07 19:35,84.19,80360.0
449,2022-03-07 19:40,84.31,48456.0
450,2022-03-07 19:45,84.09,111752.0
451,2022-03-07 19:50,83.89,49116.0
452,2022-03-07 19:55,84.03,55318.0
453,2022-03-07 20:00,83.775,96170.0
454,2022-03-07 20:05,83.48,95636.0
455,2022-03-07 20:10,83.47,160011.0
456,2022-03-07 20:15,83.198,71442.0
457,2022-03-07 20:20,83.26,44701.0
458,2022-03-07 20:25,83.25,65659.0
459,2022-03-07 20:30,83.2,59103.0
460,2022-03-07 20:35,83.1833,84055.0
461,2022-03-07 20:40,83.52,69076.0
462,2022-03-07 20:45,83.715,61831.0
463,2022-03-07 20:50,83.73,94318.0
464,2022-03-07 20:55,83.515,62408.0
465,2022-03-07 21:00,83.58,56454.0
466,2022-03-07 21:05,83.6,53130.0
467,2022-03-07 21:10,83.52,54975.0
468,2022-03-07 21:15,83.49,53387.0
469,2022-03-07 21:20,83.59,93632.0
470,2022-03-07 21:25,83.64,92693.0
471,2022-03-07 21:30,83.78,118744.0
472,2022-03-07 21:35,83.78,111300.0
473,2022-03-07 21:40,83.7,97750.0
474,2022-03-07 21:45,83.96,121656.0
475,2022-03-07 21:50,83.87,191703.0
476,2022-03-07 21:55,83.86,455423.0
477,2022-03-07 22:00,83.97,109894.0
478,2022-03-07 22:10,83.85,761.0
479,2022-03-07 22:25,84.1,200.0
480,2022-03-07 22:30,84.28,506.0
481,2022-03-07 22:35,84.28,980.0
482,2022-03-07 22:45,84.0,200.0
483,2022-03-07 22:50,84.0,115.0
484,2022-03-07 22:55,84.0,2132.0
485,2022-03-07 23:10,83.95,100.0
486,2022-03-07 23:15,83.97,1978.0
487,2022-03-07 23:55,83.57,284.0
488,2022-03-08 00:15,83.95,199.0
489,2022-03-08 00:30,83.94,304.0
490,2022-03-08 00:45,84.21,200.0
491,2022-03-08 10:40,84.7,260.0
492,2022-03-08 10:45,84.67,100.0
493,2022-03-08 10:55,84.01,2043.0
494,2022-03-08 13:20,84.45,665.0
495,2022-03-08 13:25,84.4,400.0
496,2022-03-08 13:45,84.42,884.0
497,2022-03-08 14:00,84.0701,8840.0
498,2022-03-08 14:10,84.7,395.0
499,2022-03-08 14:25,84.4,340.0
500,2022-03-08 14:30,84.45,1419.0
501,2022-03-08 14:35,84.55,411.0
502,2022-03-08 14:40,84.66,1360.0
503,2022-03-08 14:50,84.92,201.0
504,2022-03-08 15:00,85.25,450.0
505,2022-03-08 15:10,84.8,1161.0
506,2022-03-08 15:15,84.6,909.0
507,2022-03-08 15:25,84.7,1571.0
508,2022-03-08 15:30,84.1,210133.0
509,2022-03-08 15:35,84.95,88815.0
510,2022-03-08 15:40,84.63,149247.0
511,2022-03-08 15:45,84.585,119033.0
512,2022-03-08 15:50,84.75,49254.0
513,2022-03-08 15:55,84.8,55088.0
514,2022-03-08 16:00,84.8,81632.0
515,2022-03-08 16:05,84.505,45891.0
516,2022-03-08 16:10,84.51,48419.0
517,2022-03-08 16:15,84.5,63740.0
518,2022-03-08 16:20,85.1984,49588.0
519,2022-03-08 16:25,85.245,55849.0
520,2022-03-08 16:30,85.02,50187.0
521,2022-03-08 16:35,85.38,74722.0
522,2022-03-08 16:40,85.88,48095.0
523,2022-03-08 16:45,85.8,42323.0
524,2022-03-08 16:50,85.74,54011.0
525,2022-03-08 16:55,85.62,55208.0
526,2022-03-08 17:00,85.7,37227.0
527,2022-03-08 17:05,85.4265,124068.0
528,2022-03-08 17:10,85.5518,113428.0
529,2022-03-08 17:15,85.65,172156.0
530,2022-03-08 17:20,85.73,54926.0
531,2022-03-08 17:25,85.79,49754.0
532,2022-03-08 17:30,85.52,40755.0
533,2022-03-08 17:35,85.76,29611.0
534,2022-03-08 17:40,85.7,39286.0
535,2022-03-08 17:45,85.69,47784.0
536,2022-03-08 17:50,85.76,44765.0
537,2022-03-08 17:55,85.81,22024.0
538,2022-03-08 18:00,85.97,76750.0
539,2022-03-08 18:05,86.145,37278.0
540,2022-03-08 18:10,86.18,41972.0
541,2022-03-08 18:15,86.29,49935.0
542,2022-03-08 18:20,86.29,75463.0
543,2022-03-08 18:25,85.6,32600.0
544,2022-03-08 18:30,85.67,68753.0
545,2022-03-08 18:35,85.35,67151.0
546,2022-03-08 18:40,84.69,108256.0
547,2022-03-08 18:45,84.69,104479.0
548,2022-03-08 18:50,83.97,57647.0
549,2022-03-08 18:55,84.17,30813.0
550,2022-03-08 19:00,84.11,41082.0
551,2022-03-08 19:05,84.23,28188.0
552,2022-03-08 19:10,84.54,66153.0
553,2022-03-08 19:15,84.39,45842.0
554,2022-03-08 19:20,83.96,70830.0
555,2022-03-08 19:25,83.63,60572.0
556,2022-03-08 19:30,83.345,88288.0
557,2022-03-08 19:35,83.405,80927.0
558,2022-03-08 19:40,83.5,54202.0
559,2022-03-08 19:45,83.35,38956.0
560,2022-03-08 19:50,83.23,56711.0
561,2022-03-08 19:55,83.43,36884.0
562,2022-03-08 20:00,83.53,40315.0
563,2022-03-08 20:05,83.48,31966.0
564,2022-03-08 20:10,83.6,31307.0
565,2022-03-08 20:15,83.568,35247.0
566,2022-03-08 20:20,83.6,28278.0
567,2022-03-08 20:25,83.78,38707.0
568,2022-03-08 20:30,84.04,29911.0
569,2022-03-08 20:35,84.07,57252.0
570,2022-03-08 20:40,84.23,60077.0
571,2022-03-08 20:45,84.34,25740.0
572,2022-03-08 20:50,84.49,22802.0
573,2022-03-08 20:55,84.37,30227.0
574,2022-03-08 21:00,84.445,32771.0
575,2022-03-08 21:05,84.62,28391.0
576,2022-03-08 21:10,84.48,34757.0
577,2022-03-08 21:15,84.32,42599.0
578,2022-03-08 21:20,84.19,37067.0
579,2022-03-08 21:25,84.16,43843.0
580,2022-03-08 21:30,83.8,64035.0
581,2022-03-08 21:35,83.65,35034.0
582,2022-03-08 21:40,83.75,59760.0
583,2022-03-08 21:45,83.45,71200.0
584,2022-03-08 21:50,83.25,105158.0
585,2022-03-08 21:55,83.41,231448.0
586,2022-03-08 22:00,83.13,64104.0
587,2022-03-08 22:05,83.13,308240.0
588,2022-03-08 22:25,83.13,282.0
